Model,MAE,MSE,RMSE,MAPE (%)
Seasonal Naive,2939275.6173189436,14115213485927.365,3757021.890530765,53.59200263480004
SARIMA,1439148.5764000614,2924281670120.208,1710053.1190931492,24.397612815137315
